record_id,pmid,title,stage,proposed_decision,proposed_reason,proposed_reviewer,proposed_review_date,investigator_decision,investigator_initials,confirmation_date,investigator_notes
PMID-35111707,35111707,"Differences Regarding Knowledge of Sexually Transmitted Infections, Sexual Habits, and Behavior Between University Students of Medical and Nonmedical Professions in Serbia.",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-34333621,34333621,Teacher Versus Parent Informant Measurement Invariance of the Strengths and Difficulties Questionnaire.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-33671784,33671784,The Influence of Occupational Categories on Overall and Domain-Specific Physical Activity and the Association with Chronic Diseases. An Analysis Using the Austrian Health Interview Survey.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-33464669,33464669,"The epidemiology of muscle-strengthening and aerobic physical activity guideline adherence among 24,016 German adults.",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-32143973,32143973,[Diet quality in a population aged over 65 and related socioeconomic factors].,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-30321436,30321436,Measurement Equivalence of the Subjective Well-Being Scale Among Racially/Ethnically Diverse Older Adults.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-30205206,30205206,Retrospective harmonization of multi-site diffusion MRI data acquired with different acquisition parameters.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-30578242,30578242,Adolescent Medicine Trials Network for HIV/AIDS Interventions Data Harmonization: Rationale and Development of Guidelines.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-30016814,30016814,MIRACUM: Medical Informatics in Research and Care in University Medicine.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-29315123,29315123,Measurement Properties of Patient-Reported Outcome Measures Used in Patients Undergoing Total Hip Arthroplasty: A Systematic Review.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-29495212,29495212,[Data harmonization and sharing in study cohorts of respiratory diseases].,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-27621257,27621257,"The InterLACE study: Design, data harmonization and characteristics across 20 studies on women's health.",title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-26395286,26395286,Good Medicine and Good Healthcare Demand Good Information (Systems).,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-26541292,26541292,Inequalities in medicine use in Central Eastern Europe: an empirical investigation of socioeconomic determinants in eight countries.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-24767588,24767588,Measurement equivalence of the CES-D 8 depression-scale among the ageing population in eleven European countries.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-25006191,25006191,Recommended patient-reported core set of symptoms to measure in adult cancer treatment trials.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-41168823,41168823,Development and preliminary testing of a patient reported experience measure for chronic disease patients in Singapore.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-39511613,39511613,Harmonizing measurements: establishing a common metric via shared items across instruments.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-38212174,38212174,Simplified Chinese version of the PROMIS Pediatric-25 profile: A validation study among cancer children.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-37331836,37331836,Validation of the simplified Chinese version of PROMIS Parent Proxy-25 Profile in parents of children with cancer.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-34089412,34089412,"Examining the measurement equivalence of the Maslach Burnout Inventory across age, gender, and specialty groups in US physicians.",title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-34689753,34689753,Pre-statistical harmonization of behavrioal instruments across eight surveys and trials.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-22552604,22552604,Measurement invariance of the PROMIS pain interference item bank across community and clinical samples.,title_abstract,BACKGROUND,"Adjacent methodological or psychometric evidence useful for context, but not central to PaRIS-EHIS harmonisation",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-41786039,41786039,"Association of depressive symptoms with all-cause, cardiovascular, and cancer mortality: A population-based study in Spain.",title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-42075095,42075095,Daily Use of Caloric and Artificial Sweeteners Among Hungarian Adults with Diabetes: Socioeconomic and Dietary Associations.,title_abstract,EXCLUDE,"Substantive application, population-specific instrument validation, or technical topic without transferable harmonisation guidance",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
PMID-29511034,29511034,Measurement equivalence: a glossary for comparative population health research.,title_abstract,INCLUDE,"Direct methodological contribution, survey-comparability evidence, or primary PaRIS/EHIS methods relevant to the framework",Codex; title/abstract review for investigator confirmation,2026-08-21,,,,
